Symbol,NCBI GeneID,Description,Ensembl GeneIDs
SPATA7,55812,spermatogenesis associated 7,ENSG00000042317
GMFG,9535,glia maturation factor gamma,ENSG00000130755
NUP37,79023,nucleoporin 37,ENSG00000075188
IBTK,25998,inhibitor of Bruton tyrosine kinase,ENSG00000005700
PJA1,64219,praja ring finger ubiquitin ligase 1,ENSG00000181191
FPR3,2359,formyl peptide receptor 3,ENSG00000187474
GNG7,2788,G protein subunit gamma 7,ENSG00000176533
RAPGEF2,9693,Rap guanine nucleotide exchange factor 2,ENSG00000109756
ULK4,54986,unc-51 like kinase 4,ENSG00000168038
DCAF8,50717,DDB1 and CUL4 associated factor 8,ENSG00000132716
KREMEN1,83999,kringle containing transmembrane protein 1,ENSG00000183762
LSAMP,4045,limbic system associated membrane protein,ENSG00000185565
KNTC1,9735,kinetochore associated 1,ENSG00000184445
CTDSPL,10217,CTD small phosphatase like,ENSG00000144677
SYTL2,54843,synaptotagmin like 2,ENSG00000137501
NIBAN1,116496,niban apoptosis regulator 1,ENSG00000135842
NSA2,10412,NSA2 ribosome biogenesis factor,ENSG00000164346
DUSP12,11266,dual specificity phosphatase 12,ENSG00000081721
FASTKD2,22868,FAST kinase domains 2,ENSG00000118246
PPHLN1,51535,periphilin 1,ENSG00000134283
RBM24,221662,RNA binding motif protein 24,ENSG00000112183
BTBD9,114781,BTB domain containing 9,ENSG00000183826
DDO,8528,D-aspartate oxidase,ENSG00000203797
SLC13A2,9058,solute carrier family 13 member 2,ENSG00000007216
MYO5C,55930,myosin VC,ENSG00000128833
IPO11,51194,importin 11,ENSG00000086200
INPP5B,3633,inositol polyphosphate-5-phosphatase B,ENSG00000204084
INTS1,26173,integrator complex subunit 1,ENSG00000164880
NOP16,51491,NOP16 nucleolar protein,ENSG00000048162
BBS7,55212,Bardet-Biedl syndrome 7,ENSG00000138686
GPAM,57678,"glycerol-3-phosphate acyltransferase, mitochondrial",ENSG00000119927
PUS1,80324,pseudouridine synthase 1,ENSG00000177192
NPS,594857,neuropeptide S,ENSG00000214285
SAA4,6291,"serum amyloid A4, constitutive",ENSG00000148965
SLN,6588,sarcolipin,ENSG00000170290
ACAA2,10449,acetyl-CoA acyltransferase 2,ENSG00000167315
EXOSC6,118460,exosome component 6,ENSG00000223496
SULT4A1,25830,sulfotransferase family 4A member 1,ENSG00000130540
OXR1,55074,oxidation resistance 1,ENSG00000164830
TENM3,55714,teneurin transmembrane protein 3,ENSG00000218336
PATL1,219988,"PAT1 homolog 1, processing body mRNA decay factor",ENSG00000166889
HOMER3,9454,homer scaffold protein 3,ENSG00000051128
LRATD2,157638,LRAT domain containing 2,ENSG00000168672
MNT,4335,MAX network transcriptional repressor,ENSG00000070444
RGS17,26575,regulator of G protein signaling 17,ENSG00000091844
TENT5C,54855,terminal nucleotidyltransferase 5C,ENSG00000183508
RHBG,57127,Rh family B glycoprotein,ENSG00000132677
TTC3,7267,tetratricopeptide repeat domain 3,ENSG00000182670
CACNA2D3,55799,calcium voltage-gated channel auxiliary subunit alpha2delta 3,ENSG00000157445
DOK5,55816,docking protein 5,ENSG00000101134
CNOT6,57472,CCR4-NOT transcription complex subunit 6,ENSG00000113300
ZNF462,58499,zinc finger protein 462,ENSG00000148143
YIPF5,81555,Yip1 domain family member 5,ENSG00000145817
ECH1,1891,enoyl-CoA hydratase 1,ENSG00000104823
EXOC5,10640,exocyst complex component 5,ENSG00000070367
MRPL11,65003,mitochondrial ribosomal protein L11,ENSG00000174547
CD101,9398,CD101 molecule,ENSG00000134256
EXOC6,54536,exocyst complex component 6,ENSG00000138190
SNAP91,9892,synaptosome associated protein 91,ENSG00000065609
KLHL7,55975,kelch like family member 7,ENSG00000122550
NREP,9315,neuronal regeneration related protein,ENSG00000134986
DDX52,11056,DExD-box helicase 52,ENSG00000278053
LUC7L,55692,LUC7 like,ENSG00000007392
COLEC12,81035,collectin subfamily member 12,ENSG00000158270
GSE1,23199,Gse1 coiled-coil protein,ENSG00000131149
GMFB,2764,glia maturation factor beta,ENSG00000197045
RAB11FIP3,9727,RAB11 family interacting protein 3,ENSG00000090565
ANKFY1,51479,ankyrin repeat and FYVE domain containing 1,ENSG00000185722
MYPN,84665,myopalladin,ENSG00000138347
FOXL1,2300,forkhead box L1,ENSG00000176678
CNTNAP1,8506,contactin associated protein 1,ENSG00000108797
CFHR4,10877,complement factor H related 4,ENSG00000134365
FRMD4A,55691,FERM domain containing 4A,ENSG00000151474
CACNB1,782,calcium voltage-gated channel auxiliary subunit beta 1,ENSG00000067191
HOXC4,3221,homeobox C4,ENSG00000198353
TENM1,10178,teneurin transmembrane protein 1,ENSG00000009694
SDCCAG8,10806,SHH signaling and ciliogenesis regulator SDCCAG8,ENSG00000054282
SOX30,11063,SRY-box transcription factor 30,ENSG00000039600
SLC4A1AP,22950,solute carrier family 4 member 1 adaptor protein,ENSG00000163798
POLR1E,64425,RNA polymerase I subunit E,ENSG00000137054
SLC22A16,85413,solute carrier family 22 member 16,ENSG00000004809
UBE3B,89910,ubiquitin protein ligase E3B,ENSG00000151148
ADCY2,108,adenylate cyclase 2,ENSG00000078295
PF4V1,5197,platelet factor 4 variant 1,ENSG00000109272
PITPNM1,9600,phosphatidylinositol transfer protein membrane associated 1,ENSG00000110697
CDC42EP3,10602,CDC42 effector protein 3,ENSG00000163171
CC2D2A,57545,coiled-coil and C2 domain containing 2A,ENSG00000048342
FZD10,11211,frizzled class receptor 10,ENSG00000111432
KANK2,25959,KN motif and ankyrin repeat domains 2,ENSG00000197256
SLC4A5,57835,solute carrier family 4 member 5,ENSG00000188687
CHAC1,79094,ChaC glutathione specific gamma-glutamylcyclotransferase 1,ENSG00000128965
SCGB3A2,117156,secretoglobin family 3A member 2,ENSG00000164265
SPDYA,245711,speedy/RINGO cell cycle regulator family member A,ENSG00000163806
ADARB2,105,adenosine deaminase RNA specific B2 (inactive),ENSG00000185736
MT1X,4501,metallothionein 1X,ENSG00000187193
SELENOW,6415,selenoprotein W,ENSG00000178980
BEX1,55859,brain expressed X-linked 1,ENSG00000133169
ARSL,415,arylsulfatase L,ENSG00000157399
ENO3,2027,enolase 3,ENSG00000108515
KYNU,8942,kynureninase,ENSG00000115919
DAZ2,57055,deleted in azoospermia 2,ENSG00000205944
MCMBP,79892,minichromosome maintenance complex binding protein,ENSG00000197771
DYNC1LI2,1783,dynein cytoplasmic 1 light intermediate chain 2,ENSG00000135720
ARHGAP32,9743,Rho GTPase activating protein 32,ENSG00000134909
EDA2R,60401,ectodysplasin A2 receptor,ENSG00000131080
AGO3,192669,argonaute RISC catalytic component 3,ENSG00000126070
IFITM5,387733,interferon induced transmembrane protein 5,ENSG00000206013
SPAG1,6674,sperm associated antigen 1,ENSG00000104450
TCEAL1,9338,transcription elongation factor A like 1,ENSG00000172465
COQ4,51117,coenzyme Q4,ENSG00000167113
NEUROD2,4761,neuronal differentiation 2,ENSG00000171532
ADAMTS8,11095,ADAM metallopeptidase with thrombospondin type 1 motif 8,ENSG00000134917
IGK,50802,immunoglobulin kappa locus,
CCNB3,85417,cyclin B3,ENSG00000147082
AQP10,89872,aquaporin 10,ENSG00000143595
BLOC1S1,2647,biogenesis of lysosomal organelles complex 1 subunit 1,ENSG00000135441
WNT9B,7484,Wnt family member 9B,ENSG00000158955
EPDR1,54749,ependymin related 1,ENSG00000086289
EXOC1,55763,exocyst complex component 1,ENSG00000090989
ACBD5,91452,acyl-CoA binding domain containing 5,ENSG00000107897
EVPL,2125,envoplakin,ENSG00000167880
SPAG6,9576,sperm associated antigen 6,ENSG00000077327
ADAMTS10,81794,ADAM metallopeptidase with thrombospondin type 1 motif 10,ENSG00000142303
PCP4,5121,Purkinje cell protein 4,ENSG00000183036
AP1G2,8906,adaptor related protein complex 1 subunit gamma 2,ENSG00000213983
RBM7,10179,RNA binding motif protein 7,ENSG00000076053
SORCS1,114815,sortilin related VPS10 domain containing receptor 1,ENSG00000108018
PLIN5,440503,perilipin 5,ENSG00000214456
GDE1,51573,glycerophosphodiester phosphodiesterase 1,ENSG00000006007
SMOC1,64093,SPARC related modular calcium binding 1,ENSG00000198732
C1orf35,79169,chromosome 1 open reading frame 35,ENSG00000143793
FBXO3,26273,F-box protein 3,ENSG00000110429
VARS2,57176,"valyl-tRNA synthetase 2, mitochondrial",ENSG00000137411
PREPL,9581,prolyl endopeptidase like,ENSG00000138078
UPK1A,11045,uroplakin 1A,ENSG00000105668
UQCC1,55245,ubiquinol-cytochrome c reductase complex assembly factor 1,ENSG00000101019
TNFAIP8L1,126282,TNF alpha induced protein 8 like 1,ENSG00000185361
TAF11,6882,TATA-box binding protein associated factor 11,ENSG00000064995
RNF138,51444,ring finger protein 138,ENSG00000134758
CREB3L2,64764,cAMP responsive element binding protein 3 like 2,ENSG00000182158
PFDN4,5203,prefoldin subunit 4,ENSG00000101132
TASOR,23272,transcription activation suppressor,ENSG00000163946
ITGB3BP,23421,integrin subunit beta 3 binding protein,ENSG00000142856
CAMKK1,84254,calcium/calmodulin dependent protein kinase kinase 1,ENSG00000004660
APLF,200558,aprataxin and PNKP like factor,ENSG00000169621
LOC102724971,102724971,putative V-set and immunoglobulin domain-containing-like protein IGHV4OR15-8,
DLX6,1750,distal-less homeobox 6,ENSG00000006377
TUBGCP4,27229,tubulin gamma complex component 4,ENSG00000137822
CIAO2B,51647,cytosolic iron-sulfur assembly component 2B,ENSG00000166595
AKTIP,64400,AKT interacting protein,ENSG00000166971
GLYR1,84656,glyoxylate reductase 1 homolog,ENSG00000140632
SLC47A2,146802,solute carrier family 47 member 2,ENSG00000180638
SLC2A12,154091,solute carrier family 2 member 12,ENSG00000146411
SEPTIN8,23176,septin 8,ENSG00000164402
RAB3IP,117177,RAB3A interacting protein,ENSG00000127328
MTX1,4580,metaxin 1,ENSG00000173171
MYH8,4626,myosin heavy chain 8,ENSG00000133020
HYPK,25764,huntingtin interacting protein K,ENSG00000242028
CIDEB,27141,cell death inducing DFFA like effector b,ENSG00000136305
SLC30A7,148867,solute carrier family 30 member 7,ENSG00000162695
GPX7,2882,glutathione peroxidase 7,ENSG00000116157
HGFAC,3083,HGF activator,ENSG00000109758
ZDHHC17,23390,zDHHC palmitoyltransferase 17,ENSG00000186908
PURB,5814,purine rich element binding protein B,ENSG00000146676
TIMMDC1,51300,translocase of inner mitochondrial membrane domain containing 1,ENSG00000113845
TOP1MT,116447,DNA topoisomerase I mitochondrial,ENSG00000184428
ZC3H18,124245,zinc finger CCCH-type containing 18,ENSG00000158545
AP3S1,1176,adaptor related protein complex 3 subunit sigma 1,ENSG00000177879
ALG1,56052,ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase,ENSG00000033011
WDR19,57728,WD repeat domain 19,ENSG00000157796
KCTD15,79047,potassium channel tetramerization domain containing 15,ENSG00000153885
RIOX1,79697,ribosomal oxygenase 1,ENSG00000170468
PIGU,128869,phosphatidylinositol glycan anchor biosynthesis class U,ENSG00000101464
RNGTT,8732,RNA guanylyltransferase and 5'-phosphatase,ENSG00000111880
SUSD2,56241,sushi domain containing 2,ENSG00000099994
IFNK,56832,interferon kappa,ENSG00000147896
ITPK1,3705,inositol-tetrakisphosphate 1-kinase,ENSG00000100605
PCDH1,5097,protocadherin 1,ENSG00000156453
UFC1,51506,ubiquitin-fold modifier conjugating enzyme 1,ENSG00000143222
COX6B1,1340,cytochrome c oxidase subunit 6B1,ENSG00000126267
KCNC4,3749,potassium voltage-gated channel subfamily C member 4,ENSG00000116396
NPFF,8620,neuropeptide FF-amide peptide precursor,ENSG00000139574
FLAD1,80308,flavin adenine dinucleotide synthetase 1,ENSG00000160688
KMT5C,84787,lysine methyltransferase 5C,ENSG00000133247
B3GAT3,26229,"beta-1,3-glucuronyltransferase 3",ENSG00000149541
NADSYN1,55191,NAD synthetase 1,ENSG00000172890
PARP9,83666,poly(ADP-ribose) polymerase family member 9,ENSG00000138496
MTIF3,219402,mitochondrial translational initiation factor 3,ENSG00000122033
RABGGTB,5876,Rab geranylgeranyltransferase subunit beta,ENSG00000137955
TPCN1,53373,two pore segment channel 1,ENSG00000186815
RPRM,56475,"reprimo, TP53 dependent G2 arrest mediator homolog",ENSG00000177519
ZKSCAN3,80317,zinc finger with KRAB and SCAN domains 3,ENSG00000189298
HYCC1,84668,hyccin PI4KA lipid kinase complex subunit 1,ENSG00000122591
PAFAH1B3,5050,platelet activating factor acetylhydrolase 1b catalytic subunit 3,ENSG00000079462
VNN2,8875,vanin 2,ENSG00000112303
RNF14,9604,ring finger protein 14,ENSG00000013561
SLC12A7,10723,solute carrier family 12 member 7,ENSG00000113504
FOXA3,3171,forkhead box A3,ENSG00000170608
PHKA1,5255,phosphorylase kinase regulatory subunit alpha 1,ENSG00000067177
SPAM1,6677,sperm adhesion molecule 1,ENSG00000106304
GPRASP1,9737,G protein-coupled receptor associated sorting protein 1,ENSG00000198932
FBXW2,26190,F-box and WD repeat domain containing 2,ENSG00000119402
SEMA6A,57556,semaphorin 6A,ENSG00000092421
CDNF,441549,cerebral dopamine neurotrophic factor,ENSG00000185267
SNF8,11267,SNF8 subunit of ESCRT-II,ENSG00000159210
NBEA,26960,neurobeachin,ENSG00000172915
RXFP3,51289,relaxin family peptide receptor 3,ENSG00000182631
SLC17A7,57030,solute carrier family 17 member 7,ENSG00000104888
FADS3,3995,fatty acid desaturase 3,ENSG00000221968
NOL6,65083,nucleolar protein 6,ENSG00000165271
ZIC5,85416,Zic family zinc finger 5,ENSG00000139800
DND1,373863,DND microRNA-mediated repression inhibitor 1,ENSG00000256453
PEX12,5193,peroxisomal biogenesis factor 12,ENSG00000108733
PPP4R3A,55671,protein phosphatase 4 regulatory subunit 3A,ENSG00000100796
NCOA7,135112,nuclear receptor coactivator 7,ENSG00000111912
SLC30A4,7782,solute carrier family 30 member 4,ENSG00000104154
CHMP6,79643,charged multivesicular body protein 6,ENSG00000176108
PIP4K2C,79837,phosphatidylinositol-5-phosphate 4-kinase type 2 gamma,ENSG00000166908
RTF1,23168,"RTF1 homolog, Paf1/RNA polymerase II complex component",ENSG00000137815
DNMBP,23268,dynamin binding protein,ENSG00000107554
FNBP1L,54874,formin binding protein 1 like,ENSG00000137942
GLIS2,84662,GLIS family zinc finger 2,ENSG00000126603
GEM,2669,GTP binding protein overexpressed in skeletal muscle,ENSG00000164949
DRAP1,10589,DR1 associated protein 1,ENSG00000175550
KCNK10,54207,potassium two pore domain channel subfamily K member 10,ENSG00000100433
CHRNB1,1140,cholinergic receptor nicotinic beta 1 subunit,ENSG00000170175
INSL5,10022,insulin like 5,ENSG00000172410
FARP1,10160,"FERM, ARH/RhoGEF and pleckstrin domain protein 1",ENSG00000152767
TSBP1,10665,testis expressed basic protein 1,ENSG00000204296
SLC45A3,85414,solute carrier family 45 member 3,ENSG00000158715
FNIP1,96459,folliculin interacting protein 1,ENSG00000217128
APBB2,323,amyloid beta precursor protein binding family B member 2,ENSG00000163697
STK33,65975,serine/threonine kinase 33,ENSG00000130413
L3MBTL3,84456,L3MBTL histone methyl-lysine binding protein 3,ENSG00000198945
RERE,473,arginine-glutamic acid dipeptide repeats,ENSG00000142599
RPS4Y1,6192,ribosomal protein S4 Y-linked 1,ENSG00000129824
RBM27,54439,RNA binding motif protein 27,ENSG00000091009
DNAJC21,134218,DnaJ heat shock protein family (Hsp40) member C21,ENSG00000168724
UGT2A1,10941,UDP glucuronosyltransferase family 2 member A1 complex locus,ENSG00000173610
NCEH1,57552,neutral cholesterol ester hydrolase 1,ENSG00000144959
ADAMTS3,9508,ADAM metallopeptidase with thrombospondin type 1 motif 3,ENSG00000156140
TRMT1,55621,tRNA methyltransferase 1,ENSG00000104907
CLIC2,1193,chloride intracellular channel 2,ENSG00000155962
FGF6,2251,fibroblast growth factor 6,ENSG00000111241
AKAP3,10566,A-kinase anchoring protein 3,ENSG00000111254
UBE2Q1,55585,ubiquitin conjugating enzyme E2 Q1,ENSG00000160714
NIPAL4,348938,NIPA like domain containing 4,ENSG00000172548
MGAT2,4247,"alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",ENSG00000168282
NDUFB6,4712,NADH:ubiquinone oxidoreductase subunit B6,ENSG00000165264
PHF11,51131,PHD finger protein 11,ENSG00000136147
PPIL1,51645,peptidylprolyl isomerase like 1,ENSG00000137168
CEP70,80321,centrosomal protein 70,ENSG00000114107
KLHL6,89857,kelch like family member 6,ENSG00000172578
LEMD2,221496,LEM domain nuclear envelope protein 2,ENSG00000161904
MLYCD,23417,malonyl-CoA decarboxylase,ENSG00000103150
REPS2,9185,RALBP1 associated Eps domain containing 2,ENSG00000169891
RABAC1,10567,Rab acceptor 1,ENSG00000105404
LSG1,55341,large 60S subunit nuclear export GTPase 1,ENSG00000041802
WDR72,256764,WD repeat domain 72,ENSG00000166415
H2BC5,3017,H2B clustered histone 5,ENSG00000158373
MAK,4117,male germ cell associated kinase,ENSG00000111837
PPRC1,23082,PPARG related coactivator 1,ENSG00000148840
CLIC5,53405,chloride intracellular channel 5,ENSG00000112782
NDUFAF2,91942,NADH:ubiquinone oxidoreductase complex assembly factor 2,ENSG00000164182
DNAH9,1770,dynein axonemal heavy chain 9,ENSG00000007174
TBRG4,9238,transforming growth factor beta regulator 4,ENSG00000136270
RNF125,54941,ring finger protein 125,ENSG00000101695
MYT1,4661,myelin transcription factor 1,ENSG00000196132
NEU2,4759,neuraminidase 2,ENSG00000115488
TCF19,6941,transcription factor 19,ENSG00000137310
RBM34,23029,RNA binding motif protein 34,ENSG00000188739
LTN1,26046,listerin E3 ubiquitin protein ligase 1,ENSG00000198862
TNPO2,30000,transportin 2,ENSG00000105576
OSBPL9,114883,oxysterol binding protein like 9,ENSG00000117859
SEC24A,10802,"SEC24 homolog A, COPII component",ENSG00000113615
KCNH5,27133,potassium voltage-gated channel subfamily H member 5,ENSG00000140015
DTYMK,1841,deoxythymidylate kinase,ENSG00000168393
CUL9,23113,cullin 9,ENSG00000112659
PHF3,23469,PHD finger protein 3,ENSG00000118482
ALG9,79796,"ALG9 alpha-1,2-mannosyltransferase",ENSG00000086848
VKORC1L1,154807,vitamin K epoxide reductase complex subunit 1L1,ENSG00000196715
SLC17A8,246213,solute carrier family 17 member 8,ENSG00000179520
AMY2B,280,amylase alpha 2B,ENSG00000240038
SPEG,10290,striated muscle enriched protein kinase,ENSG00000072195
SLC6A20,54716,solute carrier family 6 member 20,ENSG00000163817
BICC1,80114,BicC family RNA binding protein 1,ENSG00000122870
CNTROB,116840,"centrobin, centriole duplication and spindle assembly protein",ENSG00000170037
CEMP1,752014,cementum protein 1,ENSG00000205923
CABYR,26256,calcium binding tyrosine phosphorylation regulated,ENSG00000154040
MIEF1,54471,mitochondrial elongation factor 1,ENSG00000100335
KLHL24,54800,kelch like family member 24,ENSG00000114796
COLGALT1,79709,collagen beta(1-O)galactosyltransferase 1,ENSG00000130309
CELSR3,1951,cadherin EGF LAG seven-pass G-type receptor 3,ENSG00000008300
NDUFA1,4694,NADH:ubiquinone oxidoreductase subunit A1,ENSG00000125356
ELMO2,63916,engulfment and cell motility 2,ENSG00000062598
